concept,form,was,note
mom,mam,mother,mama. KINSHIP AXIS placed first
grandmother,nan,,nana nonna nain. KINSHIP AXIS
dad,dad,content,dada. KINSHIP AXIS. content is displaced
grandfather,bab,father,baba. KINSHIP AXIS. father is displaced
child,kik,kick,kick is displaced. gag is freed
baby,pup,individual,individual moves to zak. beb is freed. pip freed for pit cosine
parent,sas,,nine gave up zes. a digit's coda is free, its onset and vowel are not
tune,kip,tune,the language names itself
tone,kup,tone,
experience,zus,experience,
nothing,siz,peace,peace is displaced. him is freed
no,noq,,previous took nog
note,nos,,node took not. d~t are a voicing pair at the coda
know,nom,,restored. num and nam are clear now the five vowels are distinct
cause,kaz,cause,
god,gad,god,
individual,baq,,was yun
red,red,,THE COLOURS. the english word exactly. its e BREAKS the i a u u a i palindrome
orange,jan,,orange is /ɒrɪndʒ/, so the j is its own sound. spirit gave this up
yellow,yul,,
green,gun,,
blue,bag,,
purple,pin,,
black,bul,,THE GREYS. u a i, dark to light, a scale and not a wheel
gray,gaj,,
white,wiq,,six of the nine echo the english. v16:color recomputes
copper,kis,,THE METALS. i a u, the greys' vowels. both are scales of worth
silver,var,,
gold,gum,,gul is 1 from kul clue, gud is 1 from gun green, so g is kept alone
x axis,pij,,THE AXES NAMED. each takes its positive pole's consonant
y axis,taj,,
z axis,kuj,,i a u, the vowels the poles do not use. j is free in all three
left,bep,,THE POLES. b d g against p t k, with the vowel binary
right,pob,,
down,dot,,
up,ted,,
back,gok,,
front,keg,,
north,yin,,THE COMPASS. w l r y feet left to right, vowels around
east,rog,,
south,lut,,
west,web,,
zero,yom,,THE NUMBERS. onset is the hex code, vowel alternates o e
one,med,,given
two,noc,,given
three,dem,,det is datetime and was there first, so three is computed
four,boq,,boj went to maj magic
five,ten,,
six,kon,,
seven,heq,,
eight,sog,,
nine,zez,,was zeb then zes. sep took the b frame and sas took the s
ten,vop,,voq went to vaq center
eleven,fef,,
twelve,xos,,
thirteen,ceg,,
fourteen,roz,,
fifteen,lep,,
sixteen,wov,,tightest pair is 3, and no two share a consonant frame
hundred,yemp,,THE POWERS. onset from the digit, first vowel flipped
thousand,mont,,10^3. second vowel cycles i o u e
million,neqk,,10^6
billion,dolc,,10^9
trillion,bedj,,10^12
quadrillion,tops,,10^15
quintillion,kegd,,10^18
sextillion,holv,,10^21
septillion,seft,,10^24
octillion,zotx,,10^27
nonillion,veks,,10^30
decillion,fosk,,10^33
power36,xebz,,10^36
power39,coqg,,10^39
power42,resp,,10^42
power45,lorf,,10^45
power48,wemb,,10^48. tightest pair 6. each holds a hard sound
type,tap,,THE TYPE AND INSTANCE PARADIGM. was tuq
action type,kiq,,CLASHES with kik child at the coda. k~q homorganic
object type,kaq,,
feature type,kuq,,
action instance,siq,,
object instance,saq,,
feature instance,suq,,resolves the kuq named twice
network,net,,
bright,mar,,
dark,ram,,mirror of mar
rock,rak,,
mind,man,,stands now. m~n are distinct as onsets
memory,guj,,restored, the rule that refused it is gone
mmm,muq,,
boom,bum,,
hop,hap,,english hop is /hɑp/, so the vowel is a and not o
doing,reC,,the -ing attachment, carried over from the old system
eye,haq,,
see,vis,,
sense,zox,,
plural,mis,,341 uses. the most said words get the shortest forms
ball,bal,,
pain,muz,,
torture,cub,,
field,cuv,,
key,cux,,
peace,him,,was zam. the reserved him slot gave this up
pleasure,zim,,mirror of zam
mouth,muc,,
inhale,sep,,THE BREATH. airy s closing to stopped p as the breath comes in
exhale,pos,,stopped p opening to airy s as the breath goes out
heaven,xam,,placed BEFORE max so the mirror survives a clash
hell,gax,,was max, the mirror of xam
great,gret,,math took mac. gret keeps the g r t of great
male,mof,,restored, the rule that refused it is gone
female,fem,,the mirror of mif, consonants swapped end for end
molecule,molk,,asked as mal, which sat [0,0,1] from mar bright and [1,0,0] from bal ball
mountain,mant,,
need,niC,,was nid, which frees the ni_ stop frame
nature,nox,,
center,vaq,,central point or origin. ten gave up voq. its coda was free to move
middle,mod,,position between extremes. mid is one step from med one
zone,zon,,eight gave up son. a digit's coda is free, its onset and vowel are not
