concept,form,uses
forever,Cik,29
stay,baC,20
must,can,14
dare,daC,11
easy,fib,10
raw,giC,7
dim,hac,6
honour,jar,6
army,keb,5
spare,lib,5
blur,mub,4
boast,nag,4
favour,paib,4
ruler,rac,3
armour,sab,2
brittle,tac,2
carpenter,vud,2
hungry,wib,2
muddy,xag,2
ready,yol,2
teacher,zad,2
tower,Catx,2
angry,baf,1
chicken,cas,1
clumsy,daf,1
colour,fok,1
err,gif,1
extra,heb,1
gone,jed,1
grandchild,keC,1
hub,lit,1
inch,mut,1
mixed,nib,1
neighbour,paig,1
practise,rip,1
scorn,sag,1
sinew,tad,1
stray,vup,1
stride,wiC,1
stutter,xal,1
wary,yuC,1
worn,zap,1
