           	miq       	motion
           	mid       	positive
           	mik       	meet
           	mis
           	miv
           	mir
           	men       	main
           	meq
           	mek       	make
           	mes
           	mej
           	mam       	mother
           	mad
           	mab
            suz         source
           	map
           	mak
           	maf       	male/man
color      	maj       	magenta
           	moq       	about/encompass
number     	mop       	twelve
           	mok       	align
code       	hax       	hash
           	mox       	immutable
           	mol
           	mun       	gut sense
           	muq       	mmm
           	zum       	(past particle)
           	mud
           	mut
           	muk
           	mus
body       	muc
           	mul       	unreal
           	niq       	omniscient
           	nid       	need
           	nik       	pink
           	nos       	nest (recursion)
           	nir
           	net
           	nek
           	nes
           	nev       	off
           	nen       	negate
           	naq
           	nak
           	nas
           	niz       	as
           	nal       	neutral
           	nop       	no
x          	not       	note
x          	nox       	notion
x          	nol       	toward
           	num       	know
x          	nuq       	bond
x          	nub       	separate
           	nuv       	empty
           	nuz       	distribute
           	nuj       	hell
           	nul       	forget
           	gim       	magic
           	gin       	sync
           	gib       	guide
           	git       	infinite
           	gik       	user
           	giz
           	gir       	that
           	gem       	game
           	gan       	garden
           	gab       	eat
           	gav       	how (missing-action-focus)
           	gaz       	possess
           	gal       	too (amount)
           	gar       	language
           	gaC       	gather
           	goq       	job
           	gop
           	got       	antenna
           	gol       	goal
           	gum       	come
           	gub       	like (filler)
body       	gut
           	guv       	end
           	guz       	lose
math       	gul       	exponent
           	dim       	you
math       	dig       	sine
           	did       	deed
           	dif       	define
           	div       	drive
           	dez       	dynamic
color      	dej       	orange
           	dam       	morality
           	dan       	the
           	dad       	content
           	dak       	physical
           	das       	understand
           	daf       	previous
           	doz       	here
           	dum       	negative
           	dud       	friend
           	dub       	aware
           	duk       	minute
           	dus       	reduce
           	duz       	do
           	dul       	delete
           	bim       	target
           	big       	go
           	bid       	ignorant
           	bib       	we
           	bip       	output
           	bit       	beat
           	biz       	intense
           	bil       	limit/restrict
           	beq       	bang
           	bed       	bite
           	beb       	baby
           	bes       	base
           	ban       	together/bind
math       	bad       	tangent (math)
           	bab       	father
           	bat       	beauty
           	baC       	by
           	bod
           	bos       	possessive plural
code       	bov       	debug
           	boz       	private
           	bum       	boom
math       	bug       	cosine
           	bud       	awake
           	bub       	boob
           	but       	unstable
           	buz       	bosom
           	pim       	permeate
           	pip       	individual
           	pem       	they (communicating-agent-e
           	peq       	pay
           	pam       	pray
           	pan       	yes
           	pak       	package
           	pas       	space
           	par       	depart/from
           	pod       	free
           	pot       	honorific (address)
           	por       	poor
           	pul       	pull
           	tim       	team
           	tin       	between
           	tiq       	mental experience
           	tiv       	conscious
           	tiz       	ellipse
           	tix       	tingle
number     	tic       	fourteen
color      	ten       	tan (color)
           	tam       	meditate
body       	tad       	tail
           	tab       	stable
           	tat       	sibling
           	tas       	test
           	tac       	set (get)
           	tar       	tire (sleep)
science    	tom       	atom
           	tod       	term
           	tos       	task
           	tup       	impure
code       	tuv       	input (computing)
           	tuc       	emotion
           	tur       	turf
           	kim       	climb
           	kiq       	action
           	kid       	could
           	kip       	tune
           	kik       	kick
           	kis       	bottom
           	kiv       	intent
color      	kil       	cyan
           	ken       	communicate
           	kep       	clone
           	ket       	but
           	kek       	agree
           	kam       	calm
           	kan       	aggregate
           	kat       	focus
           	kaf       	cough
           	kax       	perfect
           	kar       	call
code       	kop       	scope
           	kok       	disagree
           	kof       	default
           	kov       	cover
           	koz       	z-axis
           	koj       	fool
           	kox       	cell (biology)
           	kol       	all
           	kuq       	manner
           	kud       	miss (didn't touch)
           	kub       	cube
           	kup       	tone
           	kuf       	clue
           	kul       	cool (interjection)
           	him       	nothing
           	hin       	hi
           	hit       	heat
           	hik       	hike
color      	hix       	peach (color)
           	hir       	hear
           	hem       	hey
           	heq       	hang
           	hek       	hour
           	hez       	every
           	ham       	hmm
number     	han       	zero
           	hat       	at
           	hak       	hack (work)
           	has       	hyper
           	haz       	have
           	hal       	how
           	hop       	hope
           	hok       	okay
number     	hov       	floating point
           	xam       	chime
           	hum       	urge
           	hun       	illusion
           	huq       	uh
           	hub       	x-axis
           	hut       	heed
           	huv       	handle
           	sip       	asleep
           	sit       	medium
color      	sif       	purple
           	siz       	peace
           	sil       	more (-er)
           	siC       	hush
           	sep       	swipe
           	sek       	percept
           	sef       	continue
           	sev       	save
           	sez       	sir
           	seC       	etc.
           	sab       	describe
           	sat       	sight
           	saz       	emphasize
           	saj       	etc
           	sax       	wash
           	sar       	surf
           	som       	drug
           	sog       	reason
           	sod       	mystery
           	sok       	around/surround
           	sof       	each
           	soz       	also
           	sol       	soul
code       	sor       	file (computer)
           	sub       	I
           	sup       	above (super)/hover
           	sut       	store
           	suk       	top
           	suv       	observe
           	sur       	assert
           	sur       	out
           	fim       	female/woman
           	fid       	next
           	fil       	feel
number     	fet       	eight
           	fek       	fake
           	fak       	fuck
           	fok       	halt
           	fos       	else
